	PRESF	PASTF	LEMMAF	 REG	NULL	X->{	X->$t	5->u	g5->wEnt
rImQrk->rI-mQrkt	368	79	1252	1	0	0	0	0	0
hEd->hE-dId	4046	78	10025	1	0	0	0	0	0
swIJ->swIJt	368	78	1171	1	0	0	0	0	0
p@mIt->p@-mI-tId	132	78	868	1	0	0	0	0	0
m6nt->m6n-tId	309	77	1008	1	0	0	0	0	0
Imb{r@s->Im-b{-r@st	16	77	461	1	0	0	0	0	0
IntrEnJ->In-trEnJt	1	77	14	1	0	0	0	0	0
SrVg->SrVgd	48	76	489	1	0	0	0	0	0
s@bm3_->s@b-m3_d	3	76	62	1	0	0	0	0	0
k1r->k1rd	2048	75	3888	1	0	0	0	0	0
Imp5z->Im-p5zd	61	75	790	1	0	0	0	0	0
w6nd->w6n-dId	282	75	906	1	0	0	0	0	0
dIf$m->dI-f$md	2	75	30	1	0	0	0	0	0
prIvEnt->prI-vEn-tId	257	74	1676	1	0	0	0	0	0
s@pl2->s@-pl2d	1177	74	2203	1	0	0	0	0	0
@dv2z->@d-v2zd	73	74	770	1	0	0	0	0	0
rIkVv3->rI-kV-v3d	64	74	743	1	0	0	0	0	0
m2nd->m2n-dId	5530	73	7134	1	0	0	0	0	0
b{k->b{kt	22071	73	22999	1	0	0	0	0	0
str{nd->str{n-dId	146	73	266	1	0	0	0	0	0
3_->3_d	263	72	960	1	0	0	0	0	0
hUk->hUkt	503	72	969	1	0	0	0	0	0
gEs->gEst	365	71	1560	1	0	0	0	0	0
Isk1p->I-sk1pt	657	71	1615	1	0	0	0	0	0
bQD3->bQ-D3d	189	71	1105	1	0	0	0	0	0
@dm23->3d-m2-3d	74	71	783	1	0	0	0	0	0
@bs$b->@b-s$bd	54	71	679	1	0	0	0	0	0
rul->ruld	1048	71	2882	1	0	0	0	0	0
rItQrd->rI-tQr-dId	4	71	28	1	0	0	0	0	0
k@mpl1n->k@m-pl1nd	78	70	927	1	0	0	0	0	0
pQrk->pQrkt	1063	70	1717	1	0	0	0	0	0
InS$r->In-S$d	8	70	70	1	0	0	0	0	0
sQd->sQd	70	70	92	0	1	0	0	0	0
l{st->l{-stId	11227	69	12317	1	0	0	0	0	0
tEst->tE-stId	1260	69	2690	1	0	0	0	0	0
3n->3nd	91	69	973	1	0	0	0	0	0
sQlv->sQlvd	107	69	938	1	0	0	0	0	0
f1d->f1-dId	31	69	643	1	0	0	0	0	0
dIpQrt->dI-pQr-tId	28	69	350	1	0	0	0	0	0
b3n->b3nt	213	68	1783	1	0	0	0	0	0
grit->gri-tId	35	68	559	1	0	0	0	0	0
k{lkjUl1t->k{l-kjU-l1-tId	27	68	542	1	0	0	0	0	0
kw5t->kw5-tId	101	67	798	1	0	0	0	0	0
w2p->w2pt	51	67	674	1	0	0	0	0	0
@drEs->@-drEst	768	67	1507	1	0	0	0	0	0
1m->1md	645	67	1598	1	0	0	0	0	0
gr{b->gr{bd	63	67	632	1	0	0	0	0	0
kl{sIf2->kl{-sI-f2d	8	67	160	1	0	0	0	0	0
trVb@l->trV-b@ld	2511	66	3355	1	0	0	0	0	0
Int@rVpt->In-t@-rVp-tId	24	66	491	1	0	0	0	0	0
tr{p->tr{pt	330	66	875	1	0	0	0	0	0
dIsp5z->dI-sp5zd	22	66	257	1	0	0	0	0	0
p1v->p1vd	3	66	41	1	0	0	0	0	0
rIk$l->rI-k$ld	224	65	1064	1	0	0	0	0	0
dEm@nstr1t->dE-m@n-str1-tId	75	65	821	1	0	0	0	0	0
Infl$ns->In-fl$nst	1307	65	2107	1	0	0	0	0	0
twIst->twI-stId	103	65	785	1	0	0	0	0	0
rIst$r->rI-st$d	50	65	588	1	0	0	0	0	0
siz->sizd	44	65	579	1	0	0	0	0	0
k@m{nd->k@-m{n-dId	822	65	1440	1	0	0	0	0	0
@mjuz->@-mjuzd	24	65	470	1	0	0	0	0	0
nIglEkt->nI-glEk-tId	170	65	604	1	0	0	0	0	0
sm{S->sm{St	76	65	496	1	0	0	0	0	0
hEzIt1t->hE-zI-t1-tId	42	64	540	1	0	0	0	0	0
InhErIt->In-hE-rI-tId	25	64	435	1	0	0	0	0	0
dIstr{kt->dI-str{k-tId	16	64	170	1	0	0	0	0	0
skrim->skrimd	135	63	1059	1	0	0	0	0	0
sut->su-tId	773	63	1777	1	0	0	0	0	0
kIk->kIkt	216	63	988	1	0	0	0	0	0
pl{nt->pl{n-tId	1263	63	2707	1	0	0	0	0	0
lIst->lI-stId	1297	63	2036	1	0	0	0	0	0
sit->si-tId	1396	63	2280	1	0	0	0	0	0
l2s@ns->l2-s@nst	1	63	80	1	0	0	0	0	0
dIs1b@l->dIs-1-b@ld	0	63	20	1	0	0	0	0	0
sINk->s{Nk	300	62	1153	0	0	1	0	0	0
h23->h2-3d	139	62	651	1	0	0	0	0	0
tr{nsf3r->tr{ns-f3d	423	62	980	1	0	0	0	0	0
stQrt@l->stQr-t@ld	8	62	532	1	0	0	0	0	0
tr{nsf$m->tr{ns-f$md	30	62	512	1	0	0	0	0	0
p@plEks->p@-plEkst	1	62	34	1	0	0	0	0	0
dIsIluZ@n->dIs-I-lu-Z@nd	41	62	71	1	0	0	0	0	0
pQt->pQ-tId	416	62	657	1	0	0	0	0	0
k6nt->k6n-tId	1030	61	2095	1	0	0	0	0	0
w1st->w1-stId	994	61	1846	1	0	0	0	0	0
tErIf2->tE-rI-f2d	4	61	516	1	0	0	0	0	0
l2n->l2nd	3803	61	5665	1	0	0	0	0	0
sn{p->sn{pt	80	61	588	1	0	0	0	0	0
$lt3->$l-t3d	79	60	705	1	0	0	0	0	0
dIspl1->dI-spl1d	573	60	1354	1	0	0	0	0	0
swQl5->swQ-l5d	75	60	652	1	0	0	0	0	0
st$r->st$d	907	60	1612	1	0	0	0	0	0
rE_Ist3->rE-_I-st3d	201	60	692	1	0	0	0	0	0
Vnb{l@ns->Vn-b{-l@nst	2	60	16	1	0	0	0	0	0
d{mI_->d{-mI_d	817	59	1454	1	0	0	0	0	0
dIfit->dI-fi-tId	400	59	879	1	0	0	0	0	0
slIt->slIt	59	59	157	0	1	0	0	0	0
grIt->grIt	59	59	59	0	1	0	0	0	0
SIft->SIf-tId	461	58	1366	1	0	0	0	0	0
k@ndEm->k@n-dEmd	34	58	518	1	0	0	0	0	0
dIz3t->dI-z3-tId	673	58	1071	1	0	0	0	0	0
IntIgr1t->In-tI-gr1-tId	14	58	310	1	0	0	0	0	0
fl63->fl6-3d	481	58	1804	1	0	0	0	0	0
p@sju->p@-sjud	75	57	786	1	0	0	0	0	0
_V_->_V_d	796	57	1768	1	0	0	0	0	0
k@nstrVkt->k@n-strVk-tId	62	57	547	1	0	0	0	0	0
rIzQlv->rI-zQlvd	101	57	523	1	0	0	0	0	0
@sEmb@l->@-sEm-b@ld	24	57	425	1	0	0	0	0	0
stVf->stVft	1167	57	1543	1	0	0	0	0	0
pQlIS->pQ-lISt	133	57	506	1	0	0	0	0	0
spIrIt->spI-rI-tId	1206	57	1377	1	0	0	0	0	0
d1r->d1rd	124	56	862	1	0	0	0	0	0
b4l->b4ld	207	56	940	1	0	0	0	0	0
@knQlI_->@k-nQ-lI_d	58	56	611	1	0	0	0	0	0
m3d3->m3-d3d	837	56	1367	1	0	0	0	0	0
s@spEnd->s@-spEn-dId	7	56	319	1	0	0	0	0	0
sIvIl2z->sI-vI-l2zd	3	56	318	1	0	0	0	0	0
wIN->wINd	576	56	1064	1	0	0	0	0	0
Qp@r1t->Q-p@-r1-tId	136	55	1476	1	0	0	0	0	0
s3J->s3Jt	888	55	1679	1	0	0	0	0	0
wQnd3->wQn-d3d	42	55	661	1	0	0	0	0	0
dIkl2n->dI-kl2nd	589	55	1159	1	0	0	0	0	0
k@nsil->k@n-sild	56	55	575	1	0	0	0	0	0
s@st1n->s@-st1nd	44	55	519	1	0	0	0	0	0
k@l{ps->k@-l{pst	310	55	802	1	0	0	0	0	0
k{pJ3->k{p-J3d	114	55	545	1	0	0	0	0	0
kQrv->kQrvd	10	55	350	1	0	0	0	0	0
gQrd->gQr-dId	676	55	1264	1	0	0	0	0	0
@lE_->@-lE_d	3	55	311	1	0	0	0	0	0
@m1z->@-m1zd	4	55	300	1	0	0	0	0	0
rIzVlt->rI-zVl-tId	2851	54	4991	1	0	0	0	0	0
v5t->v5-tId	596	54	1944	1	0	0	0	0	0
rEst->rE-stId	3703	54	4619	1	0	0	0	0	0
rIspQnd->rI-spQn-dId	108	54	920	1	0	0	0	0	0
rVb->rVbd	75	54	755	1	0	0	0	0	0
sEns->sEnst	4918	54	5615	1	0	0	0	0	0
kwEsJ@n->kwEs-J@nd	5133	54	7939	1	0	0	0	0	0
g1z->g1zd	287	54	822	1	0	0	0	0	0
k@mpEl->k@m-pEld	22	54	410	1	0	0	0	0	0
Infl1t->In-fl1-tId	3	54	59	1	0	0	0	0	0
h{nd@l->h{n-d@ld	400	53	1537	1	0	0	0	0	0
trVst->trV-stId	805	53	1662	1	0	0	0	0	0
k@ntrIbjut->k@n-trI-bju-tId	74	53	753	1	0	0	0	0	0
prIz3v->prI-z3vd	113	53	772	1	0	0	0	0	0
Il@str1t->I-l@s-tr1-tId	41	53	557	1	0	0	0	0	0
dIz3v->dI-z3vd	52	53	475	1	0	0	0	0	0
IvQlv->I-vQlvd	22	53	438	1	0	0	0	0	0
@s2n->@-s2nd	11	53	329	1	0	0	0	0	0
v1l->v1ld	130	53	194	1	0	0	0	0	0
d{ns->d{nst	605	52	1836	1	0	0	0	0	0
strVg@l->strV-g@ld	882	52	1748	1	0	0	0	0	0
Emf@s2z->Em-f@-s2zd	57	52	664	1	0	0	0	0	0
grIn->grInd	208	52	697	1	0	0	0	0	0
dIz23->dI-z2-3d	1046	52	1631	1	0	0	0	0	0
dIstrIbjut->dI-strI-bju-tId	21	52	417	1	0	0	0	0	0
dEk@r1t->dE-k@-r1-tId	14	52	359	1	0	0	0	0	0
r6nd->r6n-dId	5913	52	6367	1	0	0	0	0	0
k@ndIS@n->k@n-dI-S@nd	1162	52	2102	1	0	0	0	0	0
In1b@l->I-n1-b@ld	112	51	963	1	0	0	0	0	0
rIspEkt->rI-spEk-tId	1126	51	1843	1	0	0	0	0	0
pr@tEst->pr@-tE-stId	546	51	1166	1	0	0	0	0	0
rUIn->rU-Ind	130	51	530	1	0	0	0	0	0
tVk->tVkt	19	51	378	1	0	0	0	0	0
f{sIn1t->f{-sI-n1-tId	6	51	294	1	0	0	0	0	0
p1n->p1nd	1354	51	1532	1	0	0	0	0	0
sm5k->sm5kt	906	50	1658	1	0	0	0	0	0
st3r->st3d	104	50	773	1	0	0	0	0	0
f5n->f5nd	1159	50	1761	1	0	0	0	0	0
prIdIkt->prI-dIk-tId	46	50	515	1	0	0	0	0	0
krItIs2z->krI-tI-s2zd	36	50	498	1	0	0	0	0	0
Inst$l->In-st$ld	15	50	354	1	0	0	0	0	0
tEmpt->tEmp-tId	14	50	335	1	0	0	0	0	0
m{t->m{-tId	192	50	256	1	0	0	0	0	0
prItEnd->prI-tEn-dId	103	49	934	1	0	0	0	0	0
mQrJ->mQrJt	383	49	990	1	0	0	0	0	0
kQmEnt->kQ-mEn-tId	510	49	1196	1	0	0	0	0	0
sil->sild	98	49	579	1	0	0	0	0	0
Iksp{nd->Ik-sp{n-dId	65	48	832	1	0	0	0	0	0
pr@sid->pr@-si-dId	78	48	726	1	0	0	0	0	0
wElk@m->wEl-k@md	582	48	1119	1	0	0	0	0	0
Inkw23->In-kw2-3d	41	48	464	1	0	0	0	0	0
dr6n->dr6nd	21	48	448	1	0	0	0	0	0
frVstr1t->frV-str1-tId	7	48	378	1	0	0	0	0	0
Imp$t->Im-p$-tId	158	48	723	1	0	0	0	0	0
tElIf5n->tE-lI-f5nd	1756	48	2241	1	0	0	0	0	0
f3nIS->f3-nISt	11	48	327	1	0	0	0	0	0
l{k->l{kt	1488	47	2100	1	0	0	0	0	0
g{r@nti->g{-r@n-tid	239	47	769	1	0	0	0	0	0
k@nfrVnt->k@n-frVn-tId	33	47	464	1	0	0	0	0	0
strIp->strIpt	334	47	795	1	0	0	0	0	0
st5n->st5nd	754	47	2210	1	0	0	0	0	0
Impl2->Im-pl2d	54	46	826	1	0	0	0	0	0
drim->drimd	902	46	2052	1	0	0	0	0	0
bQr5->bQ-r5d	65	46	554	1	0	0	0	0	0
J{lIn_->J{-lIn_d	596	46	1169	1	0	0	0	0	0
vju->vjud	3783	46	5191	1	0	0	0	0	0
pir->pird	79	46	704	1	0	0	0	0	0
IksJ1n_->Iks-J1n_d	804	46	1304	1	0	0	0	0	0
@r6z->@-r6zd	28	46	427	1	0	0	0	0	0
sk$r->sk$d	319	46	954	1	0	0	0	0	0
mVt3->mV-t3d	20	46	433	1	0	0	0	0	0
b{n->b{nd	199	46	556	1	0	0	0	0	0
b{t3->b{-t3d	48	46	365	1	0	0	0	0	0
t{p->t{pt	325	46	808	1	0	0	0	0	0
klin->klind	1242	45	2270	1	0	0	0	0	0
smEl->smEld	856	45	1741	1	0	0	0	0	0
fl{S->fl{St	332	45	868	1	0	0	0	0	0
Iksklud->Ik-sklu-dId	28	45	415	1	0	0	0	0	0
p2l->p2ld	407	45	903	1	0	0	0	0	0
k@nsiv->k@n-sivd	29	45	361	1	0	0	0	0	0
S{t3->S{-t3d	10	45	350	1	0	0	0	0	0
@n4->@-n4d	15	45	315	1	0	0	0	0	0
@lQrm->@-lQrmd	343	45	669	1	0	0	0	0	0
rIt1n->rI-t1nd	75	44	706	1	0	0	0	0	0
drIft->drIf-tId	311	44	884	1	0	0	0	0	0
Ikspl4t->Ik-spl4-tId	67	44	596	1	0	0	0	0	0
fIg3->fI-g3d	1981	44	3927	1	0	0	0	0	0
skwiz->skwizd	116	44	584	1	0	0	0	0	0
Int3prIt->In-t3-prI-tId	41	44	459	1	0	0	0	0	0
brVS->brVSt	243	44	721	1	0	0	0	0	0
rInju->rI-njud	12	44	301	1	0	0	0	0	0
dr1n->dr1nd	150	43	681	1	0	0	0	0	0
dIl1->dI-l1d	268	43	765	1	0	0	0	0	0
dIsl2k->dIs-l2kt	202	43	604	1	0	0	0	0	0
f5k@s->f5-k@st	389	43	773	1	0	0	0	0	0
r$r->r$d	184	43	575	1	0	0	0	0	0
krVS->krVSt	69	43	427	1	0	0	0	0	0
mQdIf2->mQ-dI-f2d	19	43	325	1	0	0	0	0	0
m3m3->m3-m3d	103	43	443	1	0	0	0	0	0
@stQnIS->@-stQ-nISt	5	43	238	1	0	0	0	0	0
InhIbIt->In-hI-bI-tId	17	43	170	1	0	0	0	0	0
bl5t->bl5-tId	1	43	12	1	0	0	0	0	0
briD->briDd	77	42	791	1	0	0	0	0	0
p5z->p5zd	98	42	601	1	0	0	0	0	0
p@sIst->p@-sI-stId	32	42	428	1	0	0	0	0	0
Ink6nt3->In-k6n-t3d	274	42	738	1	0	0	0	0	0
JQp->JQpt	74	42	451	1	0	0	0	0	0
InstrVkt->In-strVk-tId	14	42	296	1	0	0	0	0	0
dIv$s->dI-v$st	372	42	667	1	0	0	0	0	0
riz@n->ri-z@nd	4069	42	6043	1	0	0	0	0	0
Igz$lt->Ig-z$l-tId	3	42	22	1	0	0	0	0	0
bl1m->bl1md	260	41	964	1	0	0	0	0	0
bIh1v->bI-h1vd	101	41	825	1	0	0	0	0	0
d6t->d6-tId	2467	41	3364	1	0	0	0	0	0
sIkj$r->sI-kj$d	401	41	910	1	0	0	0	0	0
m{J->m{Jt	836	41	1575	1	0	0	0	0	0
rIv3s->rI-v3st	289	41	698	1	0	0	0	0	0
d1t->d1-tId	1006	41	1576	1	0	0	0	0	0
jEl->jEld	37	41	430	1	0	0	0	0	0
tQs->tQst	60	41	404	1	0	0	0	0	0
k@ntr2v->k@n-tr2vd	6	41	111	1	0	0	0	0	0
bQrr->bQrd	1191	41	1779	1	0	0	0	0	0
_En@r1t->_E-n@-r1-tId	57	40	662	1	0	0	0	0	0
pQrt->pQr-tId	8628	40	10994	1	0	0	0	0	0
@d{pt->@-d{p-tId	51	40	464	1	0	0	0	0	0
k@nfEs->k@n-fEst	57	40	456	1	0	0	0	0	0
b1k->b1kt	25	40	423	1	0	0	0	0	0
sVm@n->sV-m@nd	22	40	321	1	0	0	0	0	0
Ikskl1m->Ik-skl1md	6	40	250	1	0	0	0	0	0
wiv->wiv	40	40	345	0	1	0	0	0	0
s@b_Ekt->s@b-_Ek-tId	2952	40	4182	1	0	0	0	0	0
sImjUl1t->sI-mjU-l1-tId	11	40	86	1	0	0	0	0	0
mQt@l->mQ-t@ld	1	40	15	1	0	0	0	0	0
dIfEnd->dI-fEn-dId	113	39	839	1	0	0	0	0	0
IlImIn1t->I-lI-mI-n1-tId	56	39	539	1	0	0	0	0	0
w1->w1d	39	39	538	1	0	0	0	0	0
strEs->strEst	536	39	1038	1	0	0	0	0	0
pVnIS->pV-nISt	38	39	421	1	0	0	0	0	0
r1s->r1st	1340	39	1953	1	0	0	0	0	0
riInf$s->ri-In-f$st	22	39	380	1	0	0	0	0	0
stVmb@l->stVm-b@ld	15	39	368	1	0	0	0	0	0
dIv2z->dI-v2zd	26	39	334	1	0	0	0	0	0
Inkl5z->In-kl5zd	8	39	285	1	0	0	0	0	0
k3s->k3st	148	39	457	1	0	0	0	0	0
skw1r->skw1rd	1625	39	2000	1	0	0	0	0	0
@w$d->@-w$-dId	176	39	549	1	0	0	0	0	0
ElIv1t->E-lI-v1-tId	5	39	97	1	0	0	0	0	0
@priSI1t->@-pri-SI-1-tId	94	38	624	1	0	0	0	0	0
k@nsVlt->k@n-sVl-tId	68	38	562	1	0	0	0	0	0
InvEst->In-vE-stId	65	38	525	1	0	0	0	0	0
dImInIS->dI-mI-nISt	29	38	465	1	0	0	0	0	0
s@bmIt->s@b-mI-tId	48	38	427	1	0	0	0	0	0
s@prEs->s@-prEst	36	38	410	1	0	0	0	0	0
Ikspl5d->Ik-spl5-dId	26	38	396	1	0	0	0	0	0
p@siv->p@-sivd	37	38	391	1	0	0	0	0	0
rIzjum->rI-zjumd	35	38	335	1	0	0	0	0	0
l1b@l->l1-b@ld	233	38	643	1	0	0	0	0	0
T{Nk->T{Nkt	453	37	2063	1	0	0	0	0	0
bEg->bEgd	52	37	546	1	0	0	0	0	0
dVb@l->dV-b@ld	842	37	1305	1	0	0	0	0	0
skr{J->skr{Jt	111	37	559	1	0	0	0	0	0
blQk->blQkt	584	37	1401	1	0	0	0	0	0
k@nsjum->k@n-sjumd	32	37	423	1	0	0	0	0	0
tr1s->tr1st	379	37	952	1	0	0	0	0	0
IrIt1t->I-rI-t1-tId	11	37	366	1	0	0	0	0	0
prQp->prQpt	72	37	405	1	0	0	0	0	0
VnlQk->Vn-lQkt	12	37	266	1	0	0	0	0	0
dum->dumd	94	37	284	1	0	0	0	0	0
m{sk->m{skt	241	37	448	1	0	0	0	0	0
fl5->fl5d	652	36	1255	1	0	0	0	0	0
fl5t->fl5-tId	193	36	768	1	0	0	0	0	0
fUlfIl->fUl-fIld	56	36	504	1	0	0	0	0	0
{ntIsIp1t->{n-tI-sI-p1-tId	32	36	382	1	0	0	0	0	0
Int@vju->In-t@-vjud	555	36	1072	1	0	0	0	0	0
bItr1->bI-tr1d	28	36	358	1	0	0	0	0	0
tr{nsl1t->tr{ns-l1-tId	27	36	356	1	0	0	0	0	0
Ink$p@r1t->In-k$-p@-r1-tId	24	36	295	1	0	0	0	0	0
k{r@kt@r2z->k{-r@k-t@-r2zd	15	36	284	1	0	0	0	0	0
dIskQrd->dIs-kQr-dId	19	36	283	1	0	0	0	0	0
h6z->h6zd	8601	36	11110	1	0	0	0	0	0
SEdjul->SE-djuld	231	36	501	1	0	0	0	0	0
pVf->pVft	52	36	239	1	0	0	0	0	0
hUd->hU-dId	78	36	117	1	0	0	0	0	0
m{t3->m{-t3d	4287	35	6622	1	0	0	0	0	0
lQN->lQNd	13676	35	18411	1	0	0	0	0	0
rEnt->rEn-tId	683	35	1440	1	0	0	0	0	0
5->5d	56	35	486	1	0	0	0	0	0
@_Vst->@-_V-stId	52	35	468	1	0	0	0	0	0
dItEkt->dI-tEk-tId	52	35	436	1	0	0	0	0	0
pr@v5k->pr@-v5kt	32	35	364	1	0	0	0	0	0
fr6n->fr6nd	93	35	396	1	0	0	0	0	0
sIp->sIpt	70	35	376	1	0	0	0	0	0
6tl2n->6t-l2nd	185	35	559	1	0	0	0	0	0
sl{m->sl{md	22	35	284	1	0	0	0	0	0
dIst$t->dI-st$-tId	9	35	261	1	0	0	0	0	0
hQrIf2->hQ-rI-f2d	2	35	244	1	0	0	0	0	0
@bsEs->@b-sEst	1	35	184	1	0	0	0	0	0
p63->p6-3d	5913	35	6224	1	0	0	0	0	0
wE_->wE_d	86	35	149	1	0	0	0	0	0
pik->pikt	406	35	541	1	0	0	0	0	0
@v6->@-v6d	1	35	12	1	0	0	0	0	0
rIzIst->rI-zI-stId	118	34	739	1	0	0	0	0	0
sVk->sVkt	59	34	672	1	0	0	0	0	0
sl5->sl5d	1211	34	1958	1	0	0	0	0	0
g2d->g2-dId	521	34	1073	1	0	0	0	0	0
Imbr1s->Im-br1st	163	34	599	1	0	0	0	0	0
pr@_Ekt->pr@-_Ek-tId	836	34	1638	1	0	0	0	0	0
fr2->fr2d	55	34	439	1	0	0	0	0	0
rEnd3->rEn-d3d	22	34	328	1	0	0	0	0	0
dIsg2z->dIs-g2zd	140	34	466	1	0	0	0	0	0
sn{J->sn{Jt	46	34	358	1	0	0	0	0	0
p{t->p{-tId	40	34	350	1	0	0	0	0	0
bUk->bUkt	4857	34	8070	1	0	0	0	0	0
bIwIld3->bI-wIl-d3d	2	34	245	1	0	0	0	0	0
stVn->stVnd	2	34	218	1	0	0	0	0	0
n{S@n@l2z->n{-S@n-@-l2zd	6	34	214	1	0	0	0	0	0
st1n->st1nd	116	34	442	1	0	0	0	0	0
pIs->pIst	29	34	87	1	0	0	0	0	0
prE_UdIs->prE-_U-dIst	197	34	308	1	0	0	0	0	0
wEd->wE-dId	1	34	14	1	0	0	0	0	0
mElt->mEl-tId	36	33	436	1	0	0	0	0	0
@pil->@-pild	852	33	1346	1	0	0	0	0	0
rIzEnt->rI-zEn-tId	41	33	388	1	0	0	0	0	0
kj$r->kj$d	266	33	638	1	0	0	0	0	0
f2l->f2ld	462	33	1055	1	0	0	0	0	0
plVn_->plVn_d	59	33	396	1	0	0	0	0	0
Ek5->E-k5d	145	33	546	1	0	0	0	0	0
rEskju->rE-skjud	243	33	540	1	0	0	0	0	0
dVmp->dVmpt	85	33	405	1	0	0	0	0	0
st{mp->st{mpt	198	33	630	1	0	0	0	0	0
@kjumjUl1t->@-kju-mjU-l1-tId	15	33	291	1	0	0	0	0	0
EksIkjut->Ek-sI-kju-tId	11	33	231	1	0	0	0	0	0
rINk@l->rIN-k@ld	14	33	259	1	0	0	0	0	0
m{n->m{nd	17866	33	29731	1	0	0	0	0	0
swIm->sw{m	222	32	1002	0	0	1	0	0	0
sp4l->sp4ld	52	32	547	1	0	0	0	0	0
strENT@n->strEN-T@nd	48	32	511	1	0	0	0	0	0
5v@lUk->5-v@-lUkt	22	32	399	1	0	0	0	0	0
s1l->s1ld	48	32	454	1	0	0	0	0	0
str1t@n->str1-t@nd	26	32	330	1	0	0	0	0	0
rIw$d->rI-w$-dId	258	32	722	1	0	0	0	0	0
k3l->k3ld	41	32	409	1	0	0	0	0	0
skr{mb@l->skr{m-b@ld	56	32	310	1	0	0	0	0	0
p3J->p3Jt	38	32	263	1	0	0	0	0	0
h{ndIk{p->h{n-dI-k{pt	151	32	386	1	0	0	0	0	0
@p$l->@-p$ld	3	32	175	1	0	0	0	0	0
fEnd->fEnd	32	32	32	0	1	0	0	0	0
fIS->fISt	1485	31	3484	1	0	0	0	0	0
pr1->pr1d	92	31	538	1	0	0	0	0	0
kr$l->kr$ld	46	31	468	1	0	0	0	0	0
gr{sp->gr{spt	204	31	602	1	0	0	0	0	0
f2n{ns->f2-n{nst	460	31	855	1	0	0	0	0	0
iz->izd	456	31	819	1	0	0	0	0	0
fri->frid	3620	31	3997	1	0	0	0	0	0
pr@kl1m->pr@-kl1md	18	31	305	1	0	0	0	0	0
@bQlIS->@-bQ-lISt	27	31	301	1	0	0	0	0	0
sl{p->sl{pt	70	31	356	1	0	0	0	0	0
fr1m->fr1md	452	31	820	1	0	0	0	0	0
prQmpt->prQmp-tId	65	31	273	1	0	0	0	0	0
ImprIz@n->Im-prI-z@nd	4	31	190	1	0	0	0	0	0
v{lju->v{l-jud	2060	31	3287	1	0	0	0	0	0
dIstrEs->dI-strEst	217	31	399	1	0	0	0	0	0
VndrEs->Vn-drEst	18	31	153	1	0	0	0	0	0
bQnd->bQn-dId	295	31	525	1	0	0	0	0	0
dIsk@nEkt->dIs-k@-nEk-tId	4	31	37	1	0	0	0	0	0
{g@n2z->{-g@-n2zd	1	31	30	1	0	0	0	0	0
hVnt->hVn-tId	251	30	741	1	0	0	0	0	0
m{njUf{kJ3->m{-njU-f{k-J3d	198	30	728	1	0	0	0	0	0
kr{S->kr{St	288	30	626	1	0	0	0	0	0
Inf$s->In-f$st	29	30	294	1	0	0	0	0	0
_3k->_3kt	88	30	374	1	0	0	0	0	0
rIp->rIpt	27	30	282	1	0	0	0	0	0
InISI1t->I-nI-SI-1-tId	24	30	287	1	0	0	0	0	0
h$nt->h$n-tId	35	30	291	1	0	0	0	0	0
gr{djU1t->gr{-djU-1-tId	201	30	593	1	0	0	0	0	0
sEnt3->sEn-t3d	3126	30	3906	1	0	0	0	0	0
k3v->k3vd	276	30	603	1	0	0	0	0	0
_{m->_{md	227	30	454	1	0	0	0	0	0
k@nvIkt->k@n-vIk-tId	23	30	210	1	0	0	0	0	0
krVmp@l->krVm-p@ld	1	30	165	1	0	0	0	0	0
dQg->dQgd	1246	30	2137	1	0	0	0	0	0
Infl1m->In-fl1md	2	30	40	1	0	0	0	0	0
@k6nt->@-k6n-tId	1955	29	2977	1	0	0	0	0	0
pr@m5t->pr@-m5-tId	76	29	586	1	0	0	0	0	0
Eks@s2z->Ek-s@-s2zd	1361	29	2324	1	0	0	0	0	0
rI{kt->rI-{k-tId	61	29	510	1	0	0	0	0	0
wip->wip	29	29	499	0	1	0	0	0	0
rEk@n->rE-k@nd	48	29	394	1	0	0	0	0	0
sp1r->sp1rd	472	29	823	1	0	0	0	0	0
k@rEkt->k@-rEk-tId	804	29	1114	1	0	0	0	0	0
mVmb@l->mVm-b@ld	11	29	296	1	0	0	0	0	0
flVd->flV-dId	250	29	608	1	0	0	0	0	0
tIp->tIpt	364	29	828	1	0	0	0	0	0
k{ns@l->k{n-s@ld	29	29	290	1	0	0	0	0	0
pIn->pInd	175	29	568	1	0	0	0	0	0
grIp->grIpt	90	29	421	1	0	0	0	0	0
InfEkt->In-fEk-tId	9	29	197	1	0	0	0	0	0
klEnJ->klEnJt	4	29	176	1	0	0	0	0	0
IndVstrirl2z->In-dVs-trir-l2zd	3	29	171	1	0	0	0	0	0
ski->skid	92	29	251	1	0	0	0	0	0
f$k->f$kt	222	29	315	1	0	0	0	0	0
t1st->t1-stId	899	28	1429	1	0	0	0	0	0
J1s->J1st	97	28	444	1	0	0	0	0	0
dIzQlv->dI-zQlvd	29	28	330	1	0	0	0	0	0
dIskVrI_->dI-skV-rI_d	25	28	308	1	0	0	0	0	0
tr{nzmIt->tr{nz-mI-tId	21	28	304	1	0	0	0	0	0
dIsp2z->dI-sp2zd	23	28	259	1	0	0	0	0	0
kr6J->kr6Jt	17	28	261	1	0	0	0	0	0
st{g3->st{-g3d	10	28	241	1	0	0	0	0	0
h3l->h3ld	10	28	224	1	0	0	0	0	0
bl3r->bl3d	63	28	273	1	0	0	0	0	0
gl1r->gl1rd	141	28	357	1	0	0	0	0	0
